Year,Draft Position
2021,2
2021,31
2021,45
2021,131
2021,245
2019,24
2019,60
2019,143
2019,162
2019,177
2019,182
2019,187
2019,192
2019,205
2019,213
2018,10
2018,12
2018,77
2018,79
2018,141
2017,97
2017,140
2016,25
2016,28
2016,74
2016,92
2016,95
2016,106
2016,120
2016,138
2016,139
2016,145
2016,197
2015,95
2015,132
2015,191
2014,41
2014,63
2014,129
2013,11
2013,95
2013,244
2012,135
2012,178
2011,82
2011,226
2011,238
2010,61
2010,201
2009,13
2009,150
2009,251
2008,136
2008,179
2007,1
2007,57
2007,78
2007,95
2007,202
2007,237
2006,18
2006,33
2006,46
2006,47
2006,142
2006,207
2006,216
2005,107
2005,109
2005,244
2004,3
2004,29
2004,33
2003,26
2003,85
2003,202
2003,221
2002,41
2002,53
2002,85
2002,192
2002,198
2002,240
2001,86
2001,128
2001,154
2001,248
2000,8
2000,17
2000,18
2000,38
2000,43
1999,40
1999,110
1999,122
1999,177
1999,199
1999,235
1998,37
1998,136
1998,171
1998,205
1997,4
1997,81
1997,91
1997,105
1997,153
1996,76
1996,97
1996,217
1995,8
1995,34
1995,109
1995,136
1995,244
